DonorID,DonationDate,DonationAmount,Channel,Region,FirstDonationDate,Engagement,Frequency
D00018,2022-02-01,140.67,Campaign,Manchester,2020-11-11,No,4
D00018,2023-01-06,147.63,Online,Birmingham,2020-11-11,No,4
D00018,2022-05-21,49.62,Campaign,Liverpool,2020-11-11,No,4
D00019,2023-01-09,58.58,Event,London,2020-04-24,No,3
D00019,2022-06-09,15.18,Online,London,2020-04-24,Yes,3
D00019,2022-06-27,31.89,Event,Manchester,2020-04-24,Yes,3
D00020,2024-08-14,20.59,Event,Glasgow,2021-11-27,Yes,5
D00020,2023-11-06,33.05,Campaign,Liverpool,2021-11-27,Yes,5
D00020,2024-04-15,20.59,Event,Birmingham,2021-11-27,Yes,5
D00020,2022-06-14,97.81,Shop,Glasgow,2021-11-27,Yes,5
D00020,2022-10-13,34.6,Event,Glasgow,2021-11-27,Yes,5
D00021,2022-04-21,33.35,Shop,Manchester,2021-11-27,No,6
D00021,2022-06-05,103.61,Campaign,Glasgow,2021-11-27,Yes,6
D00021,2022-09-08,69.14,Online,Birmingham,2021-11-27,No,6
D00021,2022-09-23,19.1,Event,Manchester,2021-11-27,Yes,6
D00022,2024-12-30,76.96,Campaign,London,2023-06-04,No,5
D00022,2024-10-21,40.21,Online,Leeds,2023-06-04,Yes,5
D00023,2024-03-29,23.02,Shop,Birmingham,2023-12-21,No,5
D00024,2022-09-18,147.61,Campaign,Manchester,2021-01-08,Yes,5
D00024,2021-02-18,33.39,Event,Manchester,2021-01-08,No,5
D00024,2021-07-15,28.33,Event,London,2021-01-08,Yes,5
D00024,2023-04-24,25.03,Event,Manchester,2021-01-08,No,5
D00024,2024-02-22,51.02,Campaign,Edinburgh,2021-01-08,No,5
D00025,2024-11-25,186.64,Online,Birmingham,2022-05-21,Yes,4
D00026,2020-09-12,102.92,Campaign,Leeds,2020-05-29,Yes,3
D00026,2020-11-18,53.37,Online,Edinburgh,2020-05-29,No,3
D00026,2023-09-28,31.48,Online,Liverpool,2020-05-29,Yes,3
D00027,2023-11-29,17.34,Campaign,Liverpool,2022-01-21,Yes,7
D00027,2022-08-22,35.58,Campaign,Birmingham,2022-01-21,Yes,7
D00027,2024-07-02,61.04,Campaign,Glasgow,2022-01-21,Yes,7
D00027,2024-07-14,58.04,Campaign,Birmingham,2022-01-21,Yes,7
D00028,2023-01-15,12.71,Event,Edinburgh,2020-08-28,Yes,2
D00028,2021-11-03,31.5,Shop,Liverpool,2020-08-28,Yes,2
D00029,2023-03-06,83.53,Event,Birmingham,2020-01-08,No,3
D00029,2021-07-19,24.44,Online,Manchester,2020-01-08,Yes,3
D00029,2023-10-15,45.68,Campaign,Leeds,2020-01-08,Yes,3
D00030,2022-03-16,68.32,Campaign,Edinburgh,2021-02-13,Yes,4
D00030,2024-04-22,13.23,Online,Glasgow,2021-02-13,Yes,4
D00030,2022-07-17,26.84,Shop,Leeds,2021-02-13,No,4
D00030,2023-12-26,61.54,Event,Birmingham,2021-02-13,No,4
D00031,2021-07-21,90.22,Online,Leeds,2021-04-15,No,5
D00031,2024-10-29,65.89,Event,Leeds,2021-04-15,Yes,5
D00031,2022-09-11,12.55,Shop,Manchester,2021-04-15,No,5
D00031,2023-09-06,49.61,Online,Leeds,2021-04-15,Yes,5
D00032,2024-07-11,55.46,Event,Edinburgh,2021-12-04,No,5
D00032,2024-02-01,14.95,Shop,Liverpool,2021-12-04,Yes,5
D00032,2024-07-08,34.36,Campaign,London,2021-12-04,Yes,5
D00032,2023-07-29,33.35,Shop,Manchester,2021-12-04,No,5
D00033,2024-01-05,56.0,Campaign,Liverpool,2023-10-08,Yes,6
D00034,2023-12-19,84.64,Shop,Birmingham,2022-01-13,Yes,4
D00034,2023-12-20,71.1,Campaign,Glasgow,2022-01-13,No,4
D00035,2023-03-05,80.86,Shop,Birmingham,2021-12-11,No,2
D00036,2024-04-08,21.35,Shop,Liverpool,2023-11-13,No,3
D00037,2023-11-19,130.7,Campaign,Birmingham,2020-10-07,Yes,3
D00037,2023-05-07,139.79,Campaign,Manchester,2020-10-07,Yes,3
D00037,2021-11-01,22.43,Shop,Edinburgh,2020-10-07,Yes,3
D00038,2024-01-13,41.08,Shop,Liverpool,2023-03-21,No,6
D00039,2023-04-06,37.0,Online,Edinburgh,2023-01-29,No,4
D00039,2024-01-01,52.06,Event,Leeds,2023-01-29,No,4
D00040,2024-06-02,23.29,Campaign,Leeds,2023-02-02,Yes,6
D00040,2024-02-10,55.67,Event,Edinburgh,2023-02-02,Yes,6
D00040,2024-12-31,67.02,Online,Manchester,2023-02-02,Yes,6
D00040,2024-07-06,39.05,Campaign,Birmingham,2023-02-02,Yes,6
D00040,2024-02-16,13.14,Online,Birmingham,2023-02-02,Yes,6
D00040,2023-05-24,76.77,Online,Edinburgh,2023-02-02,Yes,6
D00041,2023-12-18,39.74,Campaign,Edinburgh,2022-06-22,No,4
D00041,2024-06-19,45.88,Campaign,London,2022-06-22,No,4
D00042,2023-08-20,17.22,Shop,Glasgow,2023-08-01,No,3
D00042,2024-09-16,91.8,Shop,Edinburgh,2023-08-01,No,3
D00043,2024-03-02,17.75,Event,London,2021-06-04,No,4
D00043,2022-07-17,86.88,Event,Liverpool,2021-06-04,No,4
D00043,2021-10-29,26.16,Event,Liverpool,2021-06-04,No,4
D00043,2022-04-03,41.55,Event,Manchester,2021-06-04,Yes,4
D00044,2024-11-07,11.91,Online,London,2022-01-04,Yes,3
D00044,2024-05-02,40.26,Online,Manchester,2022-01-04,No,3
D00044,2024-12-05,19.6,Campaign,Manchester,2022-01-04,Yes,3
D00045,2024-01-04,54.45,Campaign,London,2023-03-29,No,2
D00046,2023-04-19,41.83,Campaign,Glasgow,2022-01-11,Yes,3
D00046,2023-12-09,44.72,Shop,Birmingham,2022-01-11,Yes,3
D00047,2024-03-10,11.11,Online,London,2023-12-16,Yes,7
D00048,2024-08-28,56.47,Online,London,2021-09-22,No,1
D00049,2023-11-24,35.38,Event,Manchester,2023-03-04,No,4
D00049,2024-10-20,10.78,Online,Edinburgh,2023-03-04,No,4
D00051,2023-06-24,104.02,Online,Leeds,2023-05-30,Yes,7
D00051,2023-07-24,57.42,Shop,Leeds,2023-05-30,Yes,7
D00051,2024-11-18,119.9,Shop,Leeds,2023-05-30,No,7
D00052,2023-02-04,55.37,Shop,Manchester,2021-03-12,No,4
D00052,2021-05-03,37.29,Online,Manchester,2021-03-12,Yes,4
D00052,2024-07-08,59.89,Online,Glasgow,2021-03-12,Yes,4
D00052,2021-04-21,19.41,Shop,Glasgow,2021-03-12,No,4
D00053,2024-08-16,11.63,Event,Edinburgh,2021-04-28,Yes,4
D00053,2023-01-15,94.14,Event,Birmingham,2021-04-28,Yes,4
D00053,2024-03-24,159.19,Online,Leeds,2021-04-28,Yes,4
D00054,2024-12-05,60.31,Shop,Edinburgh,2022-07-11,No,7
D00054,2023-12-01,13.43,Shop,London,2022-07-11,No,7
D00054,2023-08-30,35.46,Shop,Liverpool,2022-07-11,Yes,7
D00054,2024-12-26,31.57,Campaign,London,2022-07-11,No,7
D00056,2020-11-29,87.48,Online,London,2020-09-10,No,2
D00056,2021-06-03,19.59,Campaign,Birmingham,2020-09-10,Yes,2
D00057,2023-08-06,133.24,Campaign,Liverpool,2023-01-21,Yes,6
D00058,2022-01-04,33.78,Shop,Glasgow,2020-04-30,No,2
D00058,2021-08-06,49.57,Online,Birmingham,2020-04-30,No,2
D00059,2024-05-28,13.89,Event,Liverpool,2020-08-16,Yes,5
D00059,2021-01-03,18.94,Shop,London,2020-08-16,No,5
D00059,2022-09-08,23.0,Campaign,Liverpool,2020-08-16,No,5
D00059,2023-01-13,44.87,Shop,London,2020-08-16,Yes,5
D00059,2022-11-30,137.36,Event,Manchester,2020-08-16,No,5
D00060,2024-09-09,23.94,Shop,Liverpool,2020-12-12,Yes,3
D00060,2024-10-29,73.48,Campaign,London,2020-12-12,No,3
D00060,2024-06-23,47.23,Shop,Manchester,2020-12-12,Yes,3
D00061,2023-08-24,65.09,Online,Leeds,2021-01-03,No,6
D00061,2021-09-07,60.84,Campaign,Liverpool,2021-01-03,Yes,6
D00061,2022-12-24,14.78,Campaign,Manchester,2021-01-03,Yes,6
D00061,2024-07-14,78.2,Shop,Birmingham,2021-01-03,Yes,6
D00061,2022-04-17,84.8,Shop,Leeds,2021-01-03,Yes,6
D00061,2024-09-25,14.23,Online,Glasgow,2021-01-03,No,6
D00062,2021-01-15,27.17,Shop,Birmingham,2020-09-27,Yes,4
D00062,2021-04-17,41.96,Shop,London,2020-09-27,Yes,4
D00062,2021-12-17,12.01,Online,Leeds,2020-09-27,Yes,4
D00062,2021-07-30,27.07,Campaign,Manchester,2020-09-27,No,4
D00063,2023-05-04,39.52,Event,Leeds,2022-11-09,Yes,7
D00063,2022-12-31,120.31,Event,London,2022-11-09,Yes,7
D00063,2024-07-01,207.12,Campaign,Glasgow,2022-11-09,No,7
D00063,2024-08-14,64.15,Campaign,Liverpool,2022-11-09,No,7
D00065,2023-09-19,42.42,Online,Liverpool,2022-04-18,Yes,4
D00065,2024-11-13,55.31,Campaign,London,2022-04-18,No,4
D00067,2024-08-20,98.6,Event,Edinburgh,2023-03-03,Yes,4
D00067,2024-02-28,57.68,Event,London,2023-03-03,No,4
D00068,2024-09-28,126.8,Event,Birmingham,2022-09-20,No,6
D00068,2023-03-26,51.37,Shop,Leeds,2022-09-20,No,6
D00068,2024-07-02,87.19,Event,Edinburgh,2022-09-20,Yes,6
D00069,2022-12-16,14.94,Online,Manchester,2021-07-09,Yes,5
D00069,2024-01-13,75.11,Campaign,Liverpool,2021-07-09,Yes,5
D00069,2023-02-11,53.64,Shop,London,2021-07-09,No,5
D00069,2022-12-04,65.05,Online,Edinburgh,2021-07-09,No,5
D00069,2022-07-06,24.94,Shop,Manchester,2021-07-09,No,5
D00070,2024-10-09,32.1,Campaign,Edinburgh,2022-12-13,Yes,5
D00070,2024-08-31,38.72,Shop,Liverpool,2022-12-13,Yes,5
D00070,2023-01-20,41.59,Event,Edinburgh,2022-12-13,Yes,5
D00071,2024-02-11,39.92,Event,Glasgow,2021-07-17,Yes,4
D00071,2023-01-11,33.27,Event,Manchester,2021-07-17,No,4
D00071,2023-10-06,45.23,Online,Leeds,2021-07-17,Yes,4
D00072,2022-08-24,41.01,Online,Edinburgh,2022-05-30,No,6
D00072,2023-03-26,78.68,Online,Glasgow,2022-05-30,Yes,6
D00072,2024-01-12,73.31,Shop,London,2022-05-30,Yes,6
D00072,2022-08-24,51.85,Online,Manchester,2022-05-30,No,6
D00073,2024-08-12,11.88,Online,Glasgow,2022-01-31,No,5
D00073,2023-11-13,54.71,Online,Glasgow,2022-01-31,Yes,5
D00073,2024-11-08,32.91,Online,Birmingham,2022-01-31,No,5
D00074,2021-10-25,45.9,Event,Glasgow,2021-09-03,Yes,3
D00074,2021-12-28,57.29,Event,London,2021-09-03,No,3
D00074,2023-04-19,65.91,Shop,Glasgow,2021-09-03,No,3
D00075,2021-01-15,49.71,Campaign,Edinburgh,2020-04-21,Yes,5
D00075,2022-04-24,59.55,Campaign,Liverpool,2020-04-21,Yes,5
D00075,2022-06-05,21.76,Campaign,Liverpool,2020-04-21,No,5
D00075,2020-05-14,65.28,Campaign,Birmingham,2020-04-21,No,5
D00075,2023-04-17,25.71,Shop,Edinburgh,2020-04-21,Yes,5
D00076,2022-12-22,35.17,Online,London,2022-10-12,Yes,3
D00076,2024-09-12,94.58,Shop,Leeds,2022-10-12,No,3
D00077,2022-10-28,31.22,Campaign,Birmingham,2021-11-13,Yes,4
D00077,2023-11-07,108.2,Campaign,Liverpool,2021-11-13,Yes,4
D00077,2023-09-26,164.63,Campaign,Liverpool,2021-11-13,No,4
D00077,2022-07-15,21.33,Shop,London,2021-11-13,Yes,4
D00078,2022-01-23,31.26,Event,Liverpool,2020-03-05,Yes,3
D00078,2022-05-04,71.53,Campaign,Glasgow,2020-03-05,Yes,3
D00078,2021-07-27,37.73,Online,Liverpool,2020-03-05,Yes,3
D00079,2023-02-18,10.55,Campaign,Manchester,2022-01-24,No,4
D00079,2022-09-22,53.34,Shop,Birmingham,2022-01-24,Yes,4
D00079,2024-02-01,33.81,Campaign,Birmingham,2022-01-24,No,4
D00080,2023-08-02,39.05,Event,Glasgow,2020-09-03,Yes,5
D00080,2024-02-24,61.93,Online,Liverpool,2020-09-03,No,5
D00080,2024-09-02,136.03,Shop,Manchester,2020-09-03,Yes,5
D00080,2022-10-23,73.32,Shop,Leeds,2020-09-03,Yes,5
D00080,2022-05-06,15.06,Shop,Glasgow,2020-09-03,No,5
D00081,2022-10-23,90.45,Online,Manchester,2020-12-05,Yes,2
D00081,2022-05-07,24.83,Event,Leeds,2020-12-05,No,2
D00082,2022-04-07,77.35,Online,Glasgow,2020-07-21,Yes,7
D00082,2022-05-28,13.57,Campaign,Manchester,2020-07-21,No,7
D00082,2024-03-26,26.05,Campaign,Birmingham,2020-07-21,Yes,7
D00082,2022-06-06,14.71,Campaign,Liverpool,2020-07-21,No,7
D00082,2021-08-20,34.56,Event,Glasgow,2020-07-21,No,7
D00082,2021-07-12,11.65,Event,Glasgow,2020-07-21,No,7
D00082,2021-01-23,39.37,Online,Leeds,2020-07-21,No,7
D00083,2020-10-20,12.65,Event,Liverpool,2020-07-31,No,2
D00083,2022-04-05,13.24,Shop,Leeds,2020-07-31,No,2
D00084,2024-03-16,14.38,Event,Leeds,2023-09-14,No,5
D00085,2023-04-18,22.53,Event,Leeds,2022-03-23,Yes,3
D00085,2024-08-18,77.4,Campaign,Glasgow,2022-03-23,No,3
D00085,2024-12-23,12.97,Campaign,Edinburgh,2022-03-23,No,3
D00086,2024-11-03,35.33,Shop,Manchester,2023-04-12,Yes,4
D00087,2023-10-22,226.06,Shop,Manchester,2022-08-22,Yes,5
D00087,2022-11-15,28.2,Shop,Liverpool,2022-08-22,Yes,5
D00087,2022-11-28,24.59,Shop,London,2022-08-22,Yes,5
D00089,2022-05-22,10.12,Campaign,Leeds,2020-02-04,No,4
D00089,2021-12-26,12.6,Campaign,Glasgow,2020-02-04,No,4
D00089,2023-01-05,77.44,Campaign,Edinburgh,2020-02-04,No,4
D00089,2023-02-05,44.65,Event,Leeds,2020-02-04,No,4
D00090,2022-04-24,69.87,Shop,Manchester,2020-08-17,Yes,3
D00090,2023-10-31,56.05,Shop,Manchester,2020-08-17,No,3
D00090,2023-03-27,65.12,Online,Edinburgh,2020-08-17,No,3
D00091,2022-07-22,85.42,Online,Leeds,2021-07-27,Yes,5
D00091,2021-11-25,48.83,Campaign,Leeds,2021-07-27,No,5
D00091,2024-09-04,11.22,Shop,Edinburgh,2021-07-27,Yes,5
D00091,2022-01-27,22.78,Shop,Glasgow,2021-07-27,Yes,5
D00091,2024-10-04,59.28,Campaign,Birmingham,2021-07-27,No,5
D00092,2024-11-06,18.49,Online,London,2023-09-17,Yes,3
D00092,2024-06-15,13.15,Campaign,Glasgow,2023-09-17,Yes,3
D00093,2021-05-04,13.06,Campaign,Glasgow,2020-06-19,No,5
D00093,2024-05-14,50.22,Shop,Liverpool,2020-06-19,No,5
D00093,2021-09-17,37.6,Shop,Edinburgh,2020-06-19,No,5
D00093,2022-10-13,22.3,Online,Manchester,2020-06-19,No,5
D00093,2022-12-29,11.2,Event,London,2020-06-19,Yes,5
D00094,2024-08-17,82.81,Online,Liverpool,2023-09-05,Yes,4
D00095,2023-06-16,64.99,Online,Glasgow,2022-02-22,No,5
D00095,2024-01-17,65.8,Online,London,2022-02-22,Yes,5
D00095,2023-09-06,46.05,Campaign,Glasgow,2022-02-22,No,5
D00095,2024-11-07,71.3,Event,Leeds,2022-02-22,Yes,5
D00096,2023-03-26,65.37,Campaign,Birmingham,2021-06-02,Yes,4
D00096,2024-09-14,122.64,Online,Edinburgh,2021-06-02,No,4
D00096,2024-01-14,17.17,Shop,Manchester,2021-06-02,No,4
D00097,2021-11-26,192.14,Event,Liverpool,2020-02-22,No,5
D00097,2022-10-04,27.98,Shop,Leeds,2020-02-22,Yes,5
D00097,2022-07-10,31.77,Shop,Liverpool,2020-02-22,No,5
D00097,2022-03-16,44.4,Campaign,Leeds,2020-02-22,No,5
D00097,2021-10-10,16.15,Online,Liverpool,2020-02-22,Yes,5
D00098,2022-04-15,43.42,Shop,Leeds,2021-02-26,Yes,6
D00098,2021-05-05,39.66,Event,London,2021-02-26,No,6
D00098,2021-09-20,216.56,Event,London,2021-02-26,No,6
D00098,2021-05-01,27.2,Online,Leeds,2021-02-26,Yes,6
D00098,2023-09-08,63.66,Campaign,Glasgow,2021-02-26,No,6
D00098,2021-07-31,10.62,Shop,Birmingham,2021-02-26,No,6
D00099,2024-11-11,27.6,Online,Manchester,2022-12-15,Yes,5
D00099,2024-09-17,54.42,Event,London,2022-12-15,No,5
D00099,2024-11-04,20.24,Event,Leeds,2022-12-15,No,5
D00099,2023-09-24,116.11,Online,Manchester,2022-12-15,No,5
D00100,2021-12-21,20.75,Shop,Birmingham,2021-11-25,No,7
D00100,2023-06-01,57.04,Shop,Edinburgh,2021-11-25,Yes,7
D00100,2023-02-13,34.89,Shop,Manchester,2021-11-25,No,7
D00100,2024-05-26,37.5,Online,Birmingham,2021-11-25,Yes,7
D00100,2022-03-14,44.25,Shop,Manchester,2021-11-25,Yes,7
D00100,2024-03-16,17.02,Online,Birmingham,2021-11-25,Yes,7
D00101,2020-12-23,30.7,Event,London,2020-07-27,No,4
D00101,2023-10-26,89.74,Event,London,2020-07-27,Yes,4
D00101,2023-01-08,13.44,Shop,London,2020-07-27,No,4
D00101,2024-02-03,45.6,Event,Manchester,2020-07-27,No,4
D00102,2023-08-24,21.75,Online,Liverpool,2021-11-02,No,4
D00102,2023-12-08,53.02,Shop,Manchester,2021-11-02,Yes,4
D00102,2024-10-04,103.97,Online,Birmingham,2021-11-02,No,4
D00103,2023-08-04,64.97,Online,Glasgow,2021-04-15,Yes,2
D00104,2023-01-27,18.29,Shop,Birmingham,2022-05-22,Yes,5
D00104,2024-02-23,40.07,Online,Liverpool,2022-05-22,No,5
D00104,2022-10-09,89.5,Shop,Birmingham,2022-05-22,Yes,5
D00104,2024-12-02,68.9,Event,Leeds,2022-05-22,No,5
D00104,2024-12-27,87.11,Shop,Edinburgh,2022-05-22,No,5
D00106,2023-11-21,32.51,Campaign,Leeds,2021-06-11,Yes,5
D00106,2021-11-17,37.83,Campaign,London,2021-06-11,Yes,5
D00106,2021-06-25,18.23,Event,Edinburgh,2021-06-11,Yes,5
D00106,2024-12-22,41.8,Online,Liverpool,2021-06-11,Yes,5
D00106,2022-02-08,14.95,Campaign,London,2021-06-11,Yes,5
D00107,2024-01-09,15.76,Online,Glasgow,2021-10-06,Yes,2
D00107,2022-03-31,33.18,Campaign,Manchester,2021-10-06,No,2
D00108,2024-12-16,22.26,Online,Liverpool,2023-04-14,No,5
D00108,2023-04-30,15.31,Online,London,2023-04-14,No,5
D00108,2024-07-21,82.02,Event,Glasgow,2023-04-14,Yes,5
D00110,2023-11-02,13.64,Campaign,Manchester,2022-06-13,Yes,3
D00110,2024-07-21,20.57,Shop,Manchester,2022-06-13,No,3
D00111,2024-04-02,30.24,Online,Manchester,2022-01-02,Yes,6
D00111,2024-12-15,98.4,Shop,Leeds,2022-01-02,Yes,6
D00111,2022-04-04,29.04,Campaign,Liverpool,2022-01-02,No,6
D00112,2024-08-05,49.48,Campaign,Edinburgh,2023-02-02,No,5
D00112,2024-01-24,35.78,Event,Liverpool,2023-02-02,Yes,5
D00112,2023-11-08,17.85,Event,Glasgow,2023-02-02,Yes,5
D00114,2023-03-01,48.65,Event,Manchester,2022-11-04,No,8
D00114,2023-07-18,27.83,Online,Leeds,2022-11-04,Yes,8
D00114,2022-12-02,18.08,Campaign,Birmingham,2022-11-04,No,8
D00114,2024-08-29,49.11,Online,Glasgow,2022-11-04,No,8
D00114,2023-02-25,12.2,Event,Manchester,2022-11-04,Yes,8
D00115,2022-12-30,16.74,Shop,Leeds,2020-01-22,Yes,1
D00116,2021-11-06,37.77,Campaign,Edinburgh,2020-02-19,Yes,3
D00116,2020-12-04,64.8,Shop,Glasgow,2020-02-19,Yes,3
D00116,2022-11-20,173.03,Campaign,Leeds,2020-02-19,No,3
D00117,2023-03-04,13.36,Shop,Edinburgh,2023-01-06,Yes,6
D00117,2024-07-14,26.64,Shop,Birmingham,2023-01-06,Yes,6
D00117,2024-07-22,69.59,Campaign,Edinburgh,2023-01-06,No,6
D00117,2024-09-10,67.09,Shop,Edinburgh,2023-01-06,Yes,6
D00117,2023-09-28,21.41,Online,Leeds,2023-01-06,Yes,6
D00117,2024-04-25,20.24,Event,Edinburgh,2023-01-06,No,6
D00118,2022-08-15,11.73,Event,Leeds,2022-02-11,Yes,4
D00118,2022-10-22,54.95,Shop,London,2022-02-11,No,4
D00118,2023-07-05,32.71,Event,Edinburgh,2022-02-11,No,4
D00120,2023-03-05,19.62,Event,Leeds,2021-05-07,Yes,2
D00121,2024-12-06,17.79,Shop,Manchester,2023-08-05,No,5
D00121,2024-04-13,80.21,Shop,Edinburgh,2023-08-05,Yes,5
D00121,2023-11-08,25.82,Online,Manchester,2023-08-05,No,5
D00122,2022-01-28,86.35,Shop,Edinburgh,2020-08-02,Yes,2
D00122,2024-01-12,56.91,Campaign,Birmingham,2020-08-02,No,2
D00123,2024-03-23,17.02,Online,London,2023-09-16,No,3
D00124,2024-04-22,48.71,Online,Glasgow,2021-07-25,Yes,5
D00124,2021-09-29,41.17,Shop,Edinburgh,2021-07-25,Yes,5
D00124,2024-08-05,13.56,Campaign,Liverpool,2021-07-25,No,5
D00124,2022-04-06,11.94,Online,Glasgow,2021-07-25,No,5
D00124,2021-10-17,12.05,Shop,Manchester,2021-07-25,No,5
D00125,2024-12-08,16.6,Event,Glasgow,2021-06-15,No,2
D00125,2024-05-26,18.56,Event,Edinburgh,2021-06-15,Yes,2
D00126,2022-10-28,37.94,Online,Leeds,2022-04-27,Yes,6
D00126,2023-04-05,75.6,Event,Edinburgh,2022-04-27,No,6
D00126,2023-11-15,91.73,Shop,Manchester,2022-04-27,Yes,6
D00126,2023-11-24,13.95,Campaign,Liverpool,2022-04-27,No,6
D00126,2024-07-22,16.17,Shop,Edinburgh,2022-04-27,Yes,6
D00127,2022-07-11,62.78,Online,Leeds,2021-06-21,Yes,5
D00127,2024-09-25,44.84,Campaign,Manchester,2021-06-21,Yes,5
D00127,2024-12-29,48.39,Online,Manchester,2021-06-21,No,5
D00127,2023-10-31,20.9,Shop,Edinburgh,2021-06-21,No,5
D00127,2022-10-27,22.3,Event,Birmingham,2021-06-21,No,5
D00128,2023-04-22,65.07,Shop,Birmingham,2020-03-10,No,6
D00128,2022-11-26,51.91,Campaign,Birmingham,2020-03-10,Yes,6
D00128,2023-01-29,20.83,Campaign,Leeds,2020-03-10,No,6
D00128,2020-10-20,55.44,Campaign,Liverpool,2020-03-10,No,6
D00128,2022-02-03,20.53,Shop,Manchester,2020-03-10,Yes,6
D00128,2024-02-03,53.41,Shop,Liverpool,2020-03-10,Yes,6
D00129,2021-10-09,119.28,Event,Edinburgh,2020-01-23,Yes,6
D00129,2022-05-20,23.62,Event,Birmingham,2020-01-23,Yes,6
D00129,2020-02-18,14.18,Campaign,Edinburgh,2020-01-23,No,6
D00129,2023-01-15,20.53,Online,Edinburgh,2020-01-23,No,6
D00129,2023-03-14,36.0,Campaign,Leeds,2020-01-23,Yes,6
D00129,2021-04-28,26.35,Event,Edinburgh,2020-01-23,No,6
